GO.ID	q.value
GO:0007165	3.241e-12
GO:0044700	3.241e-12
GO:0023052	3.241e-12
GO:0007154	6.721e-12
GO:0051716	3.661e-11
GO:0006542	2.097e-10
GO:0009987	1.062e-07
GO:0006952	3.79e-07
GO:0044763	7.627e-07
GO:0009399	2.756e-06
GO:0050896	2.756e-06
GO:1901607	3.146e-06
GO:0050789	5.28e-06
GO:0008652	6.946e-06
GO:0050794	1.359e-05
GO:0009084	1.359e-05
GO:1901605	4.374e-05
GO:0006541	8.898e-05
GO:0065007	0.0002202
GO:0006520	0.0002202
GO:0044699	0.0002397
GO:0006950	0.00026
GO:0006346	0.001418
GO:0000097	0.002145
GO:0071941	0.002517
GO:0009064	0.0033
GO:0006386	0.006991
GO:0000096	0.009193
GO:0000122	0.01045
GO:0042126	0.01808
GO:0042128	0.01808
GO:0016053	0.01907
GO:0046394	0.01907
GO:2001057	0.02524
GO:0006888	0.03105
GO:0009641	0.03178
