GO.ID	q.value
GO:0010315	4.004e-08
GO:0010928	6.292e-07
GO:0010540	1.525e-06
GO:0009245	4.004e-05
GO:0046493	4.004e-05
GO:1901269	4.004e-05
GO:1901271	4.004e-05
GO:0006796	5.548e-05
GO:0060918	5.548e-05
GO:0006793	5.548e-05
GO:0009914	6.76e-05
GO:0044765	7.15e-05
GO:0009966	8.36e-05
GO:1902578	8.389e-05
GO:0023051	8.389e-05
GO:0010646	8.748e-05
GO:0040007	8.748e-05
GO:0048589	0.0001112
GO:0009734	0.0001415
GO:0009247	0.0001516
GO:0055085	0.0001553
GO:0071365	0.0001965
GO:0005975	0.0001965
GO:0009926	0.000224
GO:0009733	0.0003203
GO:0035266	0.000418
GO:0006664	0.0005508
GO:1903509	0.0006537
GO:0007169	0.0008087
GO:0007167	0.001106
GO:0046467	0.001292
GO:0016310	0.001359
GO:0006810	0.001634
GO:0010480	0.001634
GO:1902065	0.001634
GO:0051234	0.001907
GO:0048583	0.002408
GO:0010075	0.002408
GO:0042908	0.00264
GO:0044699	0.00286
GO:0009987	0.00293
GO:0051179	0.002996
GO:0009311	0.003725
GO:0048533	0.00403
GO:0010817	0.004195
GO:0009641	0.00429
GO:0009934	0.00429
GO:0006643	0.00429
GO:0044238	0.004669
GO:0010073	0.005034
GO:0009312	0.005159
GO:0008654	0.00946
GO:0007166	0.01187
GO:0071704	0.01271
GO:0016051	0.0143
GO:0048507	0.0143
GO:0044723	0.01706
GO:0060919	0.02071
GO:0007165	0.02133
GO:0044237	0.02288
GO:0044700	0.02583
GO:0023052	0.02583
GO:0090407	0.02815
GO:0007154	0.03207
GO:2001289	0.03207
GO:0008152	0.03207
GO:0006094	0.03927
GO:1901137	0.03954
GO:0048638	0.04559
GO:0016049	0.04576
GO:0044763	0.04592
GO:0048509	0.04687
