geneId	cluster
Mp1g15780	C9
Mp1g15790	C6
Mp1g15820	C3
Mp1g15860	C3
Mp1g15870	C3
Mp1g16030	C3
Mp1g16100	C2
Mp1g16220	C7
Mp1g16220	C1
Mp1g16240	C3
Mp1g16340	C3
Mp1g16370	C3
Mp1g16390	C4
Mp1g16430	C2
Mp1g16450	C2
Mp1g16470	C7
Mp1g16770	C3
Mp1g16990	C3
Mp1g17050	C3
Mp1g17060	C3
Mp1g17210	C5
Mp1g17415	C1
Mp1g17415	C6
Mp1g17490	C6
Mp1g17640	C3
Mp1g17710	C3
Mp1g17720	C5
Mp1g17780	C12
Mp1g17820	C2
Mp1g17920	C6
Mp1g17990	C1
Mp1g18160	C3
Mp1g18170	C3
Mp1g18220	C2
Mp1g18280	C3
Mp1g18320	C6
Mp1g18360	C6
Mp1g18370	C3
Mp1g18380	C3
Mp1g18490	C2
Mp1g18515	C9
Mp1g18570	C3
Mp1g18580	C3
Mp1g18590	C3
Mp1g18620	C3
Mp1g18650	C6
Mp1g18660	C2
Mp1g18670	C1
Mp1g18700	C3
Mp1g18810	C3
Mp1g18880	C6
Mp1g18890	C6
Mp1g18950	C6
Mp1g18990	C3
Mp1g19110	C1
Mp1g19280	C3
Mp1g19330	C3
Mp1g19370	C1
Mp1g19380	C6
Mp1g19400	C5
Mp1g19410	C1
Mp1g19540	C3
Mp1g19550	C3
Mp1g19560	C3
Mp1g19580	C3
Mp1g19620	C3
Mp1g19660	C2
Mp1g19670	C2
Mp1g19740	C3
Mp1g19750	C1
Mp1g19780	C3
Mp1g19780	C7
Mp1g19790	C6
Mp1g19820	C6
Mp1g19900	C10
Mp1g20020	C13
Mp1g20070	C1
Mp1g20110	C12
Mp1g20220	C1
Mp1g20250	C5
Mp1g20270	C3
Mp1g20290	C6
Mp1g20300	C4
Mp1g20330	C1
Mp1g20350	C6
Mp1g20360	C6
Mp1g20410	C1
Mp1g20430	C3
Mp1g20480	C6
Mp1g20560	C3
Mp1g20570	C11
Mp1g20590	C6
Mp1g20650	C6
Mp1g20680	C3
Mp1g20770	C2
Mp1g20830	C6
Mp1g20870	C6
Mp1g20880	C6
Mp1g20920	C6
Mp1g20950	C6
Mp1g21030	C5
Mp1g21190	C2
Mp1g21270	C5
Mp1g21370	C3
Mp1g21470	C3
Mp1g21480	C2
Mp1g21480	C3
Mp1g21520	C3
Mp1g21600	C2
Mp1g21600	C10
Mp1g21620	C1
Mp1g21640	C2
Mp1g21760	C6
Mp1g21880	C3
Mp1g21900	C3
Mp1g21910	C3
Mp1g22070	C7
Mp1g22090	C3
Mp1g22290	C3
Mp1g22300	C4
Mp1g22300	C3
Mp1g22330	C4
Mp1g22400	C1
Mp1g22460	C10
Mp1g22530	C7
Mp1g22560	C1
Mp1g22755	C3
Mp1g22760	C3
Mp1g22760	C7
Mp1g22830	C3
Mp1g22850	C10
Mp1g22960	C1
Mp1g23040	C12
Mp1g23490	C3
Mp1g23550	C6
Mp1g23570	C2
Mp1g23570	C6
Mp1g23590	C3
Mp1g23610	C5
