gene	RNA_cluster	ATAC_cluster
Mp1g01450	C1	C3
Mp1g02010	C1	C3
Mp1g09420	C1	C3
Mp1g23260	C1	C3
Mp1g24740	C1	C3
Mp1g25000	C1	C3
Mp2g02340	C1	C3
Mp2g05800	C1	C3
Mp2g05810	C1	C3
Mp2g13080	C1	C3
Mp2g17910	C1	C3
Mp2g18200	C1	C3
Mp2g18580	C1	C3
Mp2g25940	C1	C3
Mp3g03660	C1	C3
Mp3g03860	C1	C3
Mp3g14610	C1	C3
Mp3g16660	C1	C3
Mp3g19690	C1	C3
Mp3g21280	C1	C3
Mp3g22100	C1	C3
Mp4g07890	C1	C3
Mp4g08240	C1	C3
Mp4g08700	C1	C3
Mp4g20740	C1	C3
Mp4g21350	C1	C3
Mp5g10480	C1	C3
Mp5g17550	C1	C3
Mp5g17610	C1	C3
Mp5g21040	C1	C3
Mp5g23540	C1	C3
Mp6g00480	C1	C3
Mp6g03720	C1	C3
Mp6g08810	C1	C3
Mp6g16370	C1	C3
Mp6g20220	C1	C3
Mp7g00590	C1	C3
Mp7g03680	C1	C3
Mp7g07610	C1	C3
Mp7g11680	C1	C3
Mp7g16620	C1	C3
Mp7g18330	C1	C3
Mp8g01400	C1	C3
Mp8g01770	C1	C3
Mp8g02920	C1	C3
Mp8g03690	C1	C3
Mp8g13380	C1	C3
Mp8g14605	C1	C3
Mp8g15840	C1	C3
