gene	RNA_cluster	ATAC_cluster
Mp1g00440	C1	C6
Mp1g02885	C1	C6
Mp1g03310	C1	C6
Mp1g04710	C1	C6
Mp1g07460	C1	C6
Mp1g10030	C1	C6
Mp1g20360	C1	C6
Mp1g20870	C1	C6
Mp1g22600	C1	C6
Mp2g02120	C1	C6
Mp2g03870	C1	C6
Mp2g05810	C1	C6
Mp2g07990	C1	C6
Mp2g10590	C1	C6
Mp2g24110	C1	C6
Mp2g24920	C1	C6
Mp2g25080	C1	C6
Mp3g02080	C1	C6
Mp3g03660	C1	C6
Mp3g03870	C1	C6
Mp3g10530	C1	C6
Mp3g13640	C1	C6
Mp3g20300	C1	C6
Mp4g01600	C1	C6
Mp4g02940	C1	C6
Mp4g05350	C1	C6
Mp4g08070	C1	C6
Mp4g20420	C1	C6
Mp4g23140	C1	C6
Mp5g12880	C1	C6
Mp5g13250	C1	C6
Mp5g14210	C1	C6
Mp6g02620	C1	C6
Mp6g16980	C1	C6
Mp6g21290	C1	C6
Mp7g03150	C1	C6
Mp7g03250	C1	C6
Mp7g06550	C1	C6
Mp7g07160	C1	C6
Mp7g08810	C1	C6
Mp7g08830	C1	C6
Mp7g10710	C1	C6
Mp7g12810	C1	C6
Mp7g14660	C1	C6
Mp7g17580	C1	C6
Mp8g01160	C1	C6
Mp8g03200	C1	C6
Mp8g03330	C1	C6
Mp8g06760	C1	C6
Mp8g14820	C1	C6
Mp8g15060	C1	C6
Mp8g15240	C1	C6
Mp8g15840	C1	C6
Mp8g15920	C1	C6
