gene	group
Mp3g11790	U_HS T
Mp3g11830	U_HS T
Mp3g12040	U_HS T
Mp3g12070	U_HS T
Mp3g12660	U_HS T
Mp3g12920	U_HS T
Mp3g13280	U_HS T
Mp3g14030	U_HS T
Mp3g14910	U_HS T
Mp3g14920	U_HS T
Mp3g15010	U_HS T
Mp3g15230	U_HS T
Mp3g15350	U_HS T
Mp3g15460	U_HS T
Mp3g15540	U_HS T
Mp3g15580	U_HS T
Mp3g15730	U_HS T
Mp3g16010	U_HS T
Mp3g16030	U_HS T
Mp3g16090	U_HS T
Mp3g16260	U_HS T
Mp3g17260	U_HS T
Mp3g17450	U_HS T
Mp3g18130	U_HS T
Mp3g18160	U_HS T
Mp3g19060	U_HS T
Mp3g19080	U_HS T
Mp3g19570	U_HS T
Mp3g19670	U_HS T
Mp3g20000	U_HS T
Mp3g20320	U_HS T
Mp3g20350	U_HS T
Mp3g20450	U_HS T
Mp3g20810	U_HS T
Mp3g20920	U_HS T
Mp3g21310	U_HS T
Mp3g21780	U_HS T
Mp3g21900	U_HS T
Mp3g22950	U_HS T
Mp3g23390	U_HS T
Mp3g23770	U_HS T
Mp3g23810	U_HS T
Mp3g24240	U_HS T
Mp3g24290	U_HS T
Mp3g24330	U_HS T
Mp3g24920	U_HS T
Mp3g24940	U_HS T
Mp4g00110	U_HS T
Mp4g00430	U_HS T
Mp4g00950	U_HS T
Mp4g01210	U_HS T
Mp4g01840	U_HS T
Mp4g02390	U_HS T
Mp4g02400	U_HS T
Mp4g02840	U_HS T
Mp4g03380	U_HS T
Mp4g03780	U_HS T
Mp4g04820	U_HS T
Mp4g05390	U_HS T
Mp4g05490	U_HS T
Mp4g05500	U_HS T
Mp4g06070	U_HS T
Mp4g06100	U_HS T
Mp4g06240	U_HS T
Mp4g06370	U_HS T
Mp4g06470	U_HS T
Mp4g06560	U_HS T
Mp4g06650	U_HS T
Mp4g07340	U_HS T
Mp4g07520	U_HS T
Mp4g07560	U_HS T
Mp4g07860	U_HS T
Mp4g08290	U_HS T
Mp4g08360	U_HS T
Mp4g08370	U_HS T
Mp4g08740	U_HS T
Mp4g08760	U_HS T
Mp4g09470	U_HS T
Mp4g09760	U_HS T
Mp4g09790	U_HS T
Mp4g09950	U_HS T
Mp4g10300	U_HS T
Mp4g11300	U_HS T
Mp4g11410	U_HS T
Mp4g11730	U_HS T
Mp4g11930	U_HS T
Mp4g12050	U_HS T
Mp4g12110	U_HS T
