gene	cluster
Mp3g19380	C8
Mp3g19390	C7
Mp3g19570	C2
Mp3g19610	C7
Mp3g19670	C2
Mp3g19690	C1
Mp3g19770	C6
Mp3g19790	C1
Mp3g19890	C6
Mp3g19920	C6
Mp3g20000	C2
Mp3g20050	C1
Mp3g20070	C6
Mp3g20100	C6
Mp3g20250	C8
Mp3g20260	C8
Mp3g20270	C6
Mp3g20300	C1
Mp3g20320	C4
Mp3g20350	C2
Mp3g20400	C6
Mp3g20450	C2
Mp3g20460	C6
Mp3g20530	C1
Mp3g20570	C8
Mp3g20600	C1
Mp3g20670	C6
Mp3g20675	C1
Mp3g20680	C6
Mp3g20700	C1
Mp3g20750	C7
Mp3g20780	C3
Mp3g20810	C2
Mp3g20870	C5
Mp3g20920	C3
Mp3g20930	C5
Mp3g20950	C5
Mp3g20970	C6
Mp3g21010	C8
Mp3g21090	C5
Mp3g21280	C1
Mp3g21310	C4
Mp3g21360	C6
Mp3g21370	C2
Mp3g21490	C6
Mp3g21520	C4
Mp3g21670	C6
Mp3g21730	C5
Mp3g21780	C2
Mp3g21800	C2
Mp3g21880	C4
Mp3g21900	C3
Mp3g21910	C2
Mp3g21950	C2
Mp3g21990	C2
Mp3g22040	C1
Mp3g22100	C1
Mp3g22130	C1
Mp3g22220	C7
Mp3g22240	C7
Mp3g22260	C1
Mp3g22310	C6
Mp3g22420	C2
Mp3g22550	C1
Mp3g22750	C1
Mp3g22770	C1
Mp3g22780	C1
Mp3g22870	C5
Mp3g22880	C4
Mp3g22910	C5
Mp3g22920	C6
