gene	RNA_cluster	ATAC_cluster
Mp1g26000	C5	C3
Mp1g27870	C5	C3
Mp1g28310	C5	C3
Mp1g28400	C5	C3
Mp2g00910	C5	C3
Mp2g04950	C5	C3
Mp2g05630	C5	C3
Mp2g25620	C5	C3
Mp3g05230	C5	C3
Mp3g21090	C5	C3
Mp3g21730	C5	C3
Mp3g22910	C5	C3
Mp3g24700	C5	C3
Mp4g00650	C5	C3
Mp4g02980	C5	C3
Mp4g03330	C5	C3
Mp4g19900	C5	C3
Mp5g02500	C5	C3
Mp5g12460	C5	C3
Mp5g13020	C5	C3
Mp5g22410	C5	C3
Mp6g02120	C5	C3
Mp6g06960	C5	C3
Mp6g08690	C5	C3
Mp6g20810	C5	C3
Mp8g01960	C5	C3
Mp8g05280	C5	C3
Mp8g05970	C5	C3
Mp8g06180	C5	C3
Mp8g08610	C5	C3
Mp8g10450	C5	C3
