GO.ID	q.value
GO:0007215	3.146e-25
GO:0035235	3.146e-25
GO:0071230	3.241e-23
GO:0006874	3.575e-23
GO:0055074	1.945e-21
GO:0071417	9.247e-21
GO:0043200	1.553e-20
GO:0072503	3.217e-20
GO:0072507	1.716e-18
GO:0070588	5.72e-16
GO:0006816	8.32e-15
GO:0019722	2.812e-14
GO:0019932	5.72e-14
GO:1901699	1.348e-13
GO:0006875	6.483e-12
GO:0070838	7.15e-11
GO:0072511	8.412e-11
GO:0030003	1.271e-10
GO:0055065	2.258e-10
GO:0006873	3.146e-10
GO:0010243	6.537e-09
GO:0050896	7.28e-09
GO:0055080	7.71e-09
GO:0007166	8.58e-09
GO:0055082	8.694e-09
GO:0009408	1.589e-08
GO:0098771	1.589e-08
GO:0050801	4.494e-08
GO:0009628	6.312e-08
GO:0009416	7.627e-08
GO:1901698	9.964e-08
GO:0098660	1.287e-07
GO:1902578	1.3e-07
GO:0009314	1.396e-07
GO:0044765	2.778e-07
GO:0098662	3.178e-07
GO:0006954	6.172e-07
GO:0009607	6.172e-07
GO:0098655	9.24e-07
GO:0006950	1.03e-06
GO:1902591	1.172e-06
GO:0042221	1.294e-06
GO:0051668	1.729e-06
GO:0019725	2.21e-06
GO:0051234	4.068e-06
GO:0006869	4.228e-06
GO:0048878	4.746e-06
GO:0071229	6.771e-06
GO:0006811	6.771e-06
GO:0006810	8.809e-06
GO:0051179	9.982e-06
GO:0048194	1.1e-05
GO:0010876	1.403e-05
GO:0006457	1.483e-05
GO:0030001	1.768e-05
GO:0044802	2.043e-05
GO:0034220	4.114e-05
GO:0009266	4.142e-05
GO:0006952	5.138e-05
GO:0045332	5.434e-05
GO:0061024	5.908e-05
GO:0006900	6.089e-05
GO:1901700	6.81e-05
GO:0034204	7.04e-05
GO:0055085	7.04e-05
GO:1901701	0.0001213
GO:0001101	0.0001366
GO:0015914	0.0001598
GO:0097035	0.000199
GO:0009644	0.0002533
GO:0042592	0.0002981
GO:0006812	0.0003178
GO:0007008	0.0006648
GO:0045040	0.0006648
GO:0042026	0.0009915
GO:1902580	0.002258
GO:0090151	0.002451
GO:0035556	0.004253
GO:0007006	0.004924
GO:0009642	0.007865
GO:0065008	0.008474
GO:0072657	0.008959
GO:0090150	0.008959
GO:0007005	0.0109
GO:0033036	0.01346
GO:0071310	0.03193
GO:0042542	0.0355
GO:0010033	0.0364
GO:0022900	0.03728
GO:0042549	0.03771
GO:0051085	0.03771
GO:0016050	0.03793
GO:0015748	0.04767
GO:0070887	0.04767
GO:0006458	0.04767
GO:0051084	0.04767
