GO.ID	q.value
GO:0090377	1.087e-05
GO:0090378	0.0004004
GO:0009051	0.0005911
GO:0090376	0.0008437
GO:0046686	0.001525
GO:0010038	0.001525
GO:0070838	0.002352
GO:0072511	0.002352
GO:0010035	0.002352
GO:0006811	0.003947
GO:0006812	0.004224
GO:0044699	0.004224
GO:0006104	0.004224
GO:0022412	0.004494
GO:0045165	0.006793
GO:0006105	0.006793
GO:0006006	0.006991
GO:0032504	0.006991
GO:0071577	0.007827
GO:0032472	0.00858
GO:0000041	0.00858
GO:0044763	0.00858
GO:0006098	0.008704
GO:0006829	0.009772
GO:0051156	0.0103
GO:0010026	0.01246
GO:0006739	0.01246
GO:0030001	0.01246
GO:0044765	0.01322
GO:1902578	0.01563
GO:0019682	0.01568
GO:0006732	0.03039
