GO.ID	q.value
GO:0007165	7.436e-22
GO:0044700	7.436e-22
GO:0023052	7.436e-22
GO:0007154	9.438e-22
GO:0051716	5.148e-18
GO:0050896	3.051e-14
GO:0050794	2.942e-12
GO:0050789	3.79e-11
GO:0065007	2.733e-09
GO:0006950	4.462e-09
GO:0044763	3.328e-08
GO:0006952	1.001e-07
GO:0009987	2.288e-07
GO:0044699	1.757e-06
GO:0006468	2.746e-06
GO:0042744	2.252e-05
GO:0042743	0.0001009
GO:0007229	0.0002066
GO:0016310	0.000295
GO:0006346	0.000429
GO:0006979	0.001062
GO:0072593	0.001586
GO:0000122	0.003482
GO:0006386	0.003813
GO:0006796	0.005491
GO:0006793	0.00638
GO:0009664	0.008686
GO:0007166	0.009601
GO:0006888	0.01026
GO:0009641	0.01354
GO:0009408	0.03137
GO:0006342	0.04826
