"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Up_regulated","Down_regulated","Negative"
"Mp1g00055k",39.4382140027772,-0.0323412803279505,0.667880534770676,-0.0484237504227537,0.961378531404626,0.981484942401419,"NO","NO","YES"
"Mp1g00070",107.685863841479,-0.125434662277356,0.31806613069824,-0.394366611754587,0.693310390499221,0.824833815940479,"NO","NO","YES"
"Mp1g00080",7937.37213249637,-0.108590421031698,0.1239482959797,-0.876094505159496,0.380978659701778,0.565234139387674,"NO","NO","YES"
"Mp1g00090",1685.25880930324,0.0951228307940472,0.0967550123112788,0.983130780739498,0.325543076743454,0.507054899758556,"NO","NO","YES"
"Mp1g00100",1397.71943009793,0.265300668781588,0.128989947763286,2.05675460283503,0.0397098369111889,0.104145162912586,"NO","NO","YES"
"Mp1g00110",529.680883786933,0.329284752336006,0.234367754354778,1.40499171160528,0.160023742942943,0.306274898863674,"NO","NO","YES"
"Mp1g00120",1098.35403804664,0.0172628567485077,0.0915482093230073,0.188565749960216,0.850433178753405,0.922506419838625,"NO","NO","YES"
"Mp1g00140",4682.34813815087,0.510497577035716,0.148052221050656,3.44809131138295,0.000564563141099079,0.00281759705461129,"NO","NO","NO"
"Mp1g00160",1857.28518886778,0.349243803556887,0.0998941920024847,3.49613722836059,0.000472045869703377,0.0024033265496514,"NO","NO","NO"
"Mp1g00170",1801.69750856882,3.27985287667072,0.279698690353061,11.7263790993465,9.33679179846471e-32,5.46317305330856e-30,"YES","NO","NO"
"Mp1g00180",133.974301280253,3.03431484069073,0.623512515522743,4.86648586058743,1.13600046770098e-06,1.03715707573807e-05,"YES","NO","NO"
"Mp1g00190",814.575831634585,0.839402360600547,0.117595525915104,7.13804674173183,9.46664437232268e-13,1.90261932071825e-11,"NO","NO","NO"
"Mp1g00210",722.411900282607,-1.48807277977112,0.28042529563453,-5.30648555225377,1.11759014644811e-07,1.21674938217329e-06,"NO","YES","NO"
"Mp1g00220",1393.15594704479,0.42010394917551,0.113663039428322,3.69604711688567,0.000218982349852554,0.00121887176736112,"NO","NO","NO"
"Mp1g00230",2668.55247239249,-0.0859368505916629,0.0873155350098318,-0.984210319297549,0.325012113000592,0.506692988347688,"NO","NO","YES"
"Mp1g00240",42.1800643727261,0.461398759221908,0.528867070105658,0.872428603145453,0.382974602069562,0.567062119593899,"NO","NO","YES"
"Mp1g00250",3610.19390252879,-0.156809137036604,0.118058790211377,-1.32822923863481,0.184102388002393,0.339191587512398,"NO","NO","YES"
"Mp1g00270",1564.46925188615,0.28781327818045,0.211425535142165,1.36129856777669,0.173419355430489,0.325157869582217,"NO","NO","YES"
"Mp1g00290",346.01165845078,-0.304554259624236,0.159371085287001,-1.9109756269513,0.0560077131385128,0.137280152013879,"NO","NO","YES"
"Mp1g00310",84.5348565493075,0.541281439549808,0.352337446958823,1.53625861861077,0.124474964329657,0.253996499966959,"NO","NO","YES"
"Mp1g00320",2506.90409451296,0.0205961474725023,0.239736653150816,0.0859115500354692,0.931536729859218,0.966166642732705,"NO","NO","YES"
"Mp1g00330",178.251213117893,-0.409257106256531,0.15121710709095,-2.70642068301427,0.00680128273448298,0.0240505020304224,"NO","NO","NO"
"Mp1g00340",1832.52383184527,-0.894292854414672,0.130946973831915,-6.82942742581129,8.52542120945548e-12,1.56999927326996e-10,"NO","NO","NO"
"Mp1g00360",2364.90047016102,-0.651422640696191,0.0630336894243386,-10.3345155050477,4.9189144486978e-25,2.08667377934402e-23,"NO","NO","NO"
"Mp1g00370",1470.13206782175,0.420792077705161,0.160313989602851,2.62479948722877,0.00867000079095256,0.0296266597799006,"NO","NO","NO"
"Mp1g00380",1883.16845963612,0.157926190211247,0.119336669173519,1.32336683523165,0.185713415253223,0.341524066632263,"NO","NO","YES"
"Mp1g00400",2228.31822006795,0.0676156770086011,0.0706654067297783,0.95684267787718,0.338646667433149,0.521244669660613,"NO","NO","YES"
"Mp1g00410",379.164820199215,2.0926198050657,0.173881010211795,12.0347805807937,2.33253347310624e-33,1.46591706844211e-31,"YES","NO","NO"
"Mp1g00420",1633.82379593886,0.152997034984517,0.135149983409254,1.13205367196546,0.257611870384993,0.430670485071491,"NO","NO","YES"
"Mp1g00430",957.216929575105,-0.330050271198452,0.110193496413759,-2.99518830003512,0.00274275465764493,0.0111151278824655,"NO","NO","NO"
"Mp1g00440",2101.0393646615,-0.106890480059653,0.157841335713142,-0.677202074961617,0.498277751428115,0.672332515217898,"NO","NO","YES"
"Mp1g00480",7903.17047990339,0.234455831047989,0.0578306227498729,4.05418132988208,5.03101811867867e-05,0.000323543222596996,"NO","NO","NO"
"Mp1g00490",6889.38161865274,0.570597684824868,0.119828065811126,4.76180334684071,1.91870610355076e-06,1.70459170515901e-05,"NO","NO","NO"
"Mp1g00510",743.251536010699,0.123814517693006,0.140755586164268,0.87964194578046,0.379053308086999,0.56322181554383,"NO","NO","YES"
"Mp1g00530",656.386047885202,-0.429612803825944,0.183765814795065,-2.33782765475203,0.0193961903994869,0.0578283005936509,"NO","NO","YES"
"Mp1g00540",1432.00628276615,-0.247199699649286,0.190340382494415,-1.29872440314414,0.194038526221918,0.352414314138218,"NO","NO","YES"
"Mp1g00550",2908.42381943168,-0.131646393552121,0.142095185079833,-0.926466252027885,0.354203727630158,0.537871628329202,"NO","NO","YES"
"Mp1g00560",4384.89515408495,0.0976607918349831,0.111359529885749,0.876986387560899,0.38049403181654,0.564726741211654,"NO","NO","YES"
"Mp1g00570",2114.89338415969,-0.0898713906686222,0.193980053966843,-0.463302225310155,0.643147750937718,0.788614533461155,"NO","NO","YES"
"Mp1g00620",1824.25150181671,-0.984850768841513,0.115226490752279,-8.54708637234131,1.26234724008027e-17,3.62177790281966e-16,"NO","NO","NO"
"Mp1g00630",197.470995493067,-0.16657870477556,0.234681481946292,-0.709807622629902,0.477823441491221,0.654278261364899,"NO","NO","YES"
"Mp1g00640",1030.50712830732,0.548770250494379,0.105334267118751,5.20979796513618,1.89046376095651e-07,1.98540482339889e-06,"NO","NO","NO"
"Mp1g00650",494.251611731572,-0.125120335911916,0.16337130589268,-0.765864820803406,0.443756739943519,0.622683632684044,"NO","NO","YES"
"Mp1g00680",1279.89300327355,-0.0787193516929989,0.109538237603345,-0.718647236027789,0.472358301242186,0.64961545418898,"NO","NO","YES"
"Mp1g00690",2557.34522549358,-0.00832378084749003,0.100516569230162,-0.0828100373027088,0.934002587929422,0.967151574725514,"NO","NO","YES"
"Mp1g00700",300.716799782012,-0.0312874740799585,0.221338645880191,-0.141355676752871,0.887588967434286,0.945032426961675,"NO","NO","YES"
"Mp1g00710",2815.61249606438,0.349332206577564,0.175682983842753,1.98842368757942,0.0467648511764023,0.119021406100987,"NO","NO","YES"
"Mp1g00720",744.658052835939,0.0280024989260305,0.109636560575944,0.255412052137786,0.798404863159205,0.890456636257207,"NO","NO","YES"
"Mp1g00730",324.465072772602,0.508646487390242,0.135427079159527,3.75586987880819,0.00017274043168765,0.000987872338751036,"NO","NO","NO"
"Mp1g00770",547.360368035459,-0.895294463537411,0.206873056820488,-4.32774802720826,1.50641663905707e-05,0.000109572668945009,"NO","NO","NO"
"Mp1g00810",503.890689517665,-0.0585152020368695,0.242759956936859,-0.241041408868305,0.809523022872789,0.897471949382395,"NO","NO","YES"
"Mp1g00820",5485.94066085979,-0.547031024032888,0.0862224298200131,-6.34441670427057,2.23269745956941e-10,3.58378113848182e-09,"NO","NO","NO"
"Mp1g00830",2698.97182514475,-0.0444253937585429,0.0845890390570247,-0.525190902435882,0.599450488604623,0.755947861094141,"NO","NO","YES"
