"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Up_regulated","Down_regulated","Negative"
"Mp1g00055k",39.4382140027772,-0.42080170797174,0.56174539773758,-0.749096850043654,0.453798833462564,0.567571079695518,"NO","NO","YES"
"Mp1g00070",107.685863841479,-0.211745179349581,0.268922172822598,-0.78738460695565,0.431056754914778,0.546317982808123,"NO","NO","YES"
"Mp1g00080",7937.37213249637,-0.300169542477761,0.103815628722728,-2.89137142616028,0.00383564504133559,0.00981046335077177,"NO","NO","NO"
"Mp1g00090",1685.25880930324,-0.168373468433221,0.0814428555046996,-2.06738169222843,0.0386982019735475,0.0747572214244053,"NO","NO","YES"
"Mp1g00100",1397.71943009793,-0.0464602104117463,0.108237383807823,-0.429243656648585,0.66774591534271,0.754732703629338,"NO","NO","YES"
"Mp1g00110",529.680883786933,-0.198977453441987,0.19619531171663,-1.01418046996646,0.310496645912668,0.423333236931895,"NO","NO","YES"
"Mp1g00120",1098.35403804664,-0.203618473470372,0.0774773050615908,-2.62810475026855,0.00858620713468631,0.0202435427443041,"NO","NO","NO"
"Mp1g00140",4682.34813815087,0.22499565191741,0.123930689560538,1.81549584461486,0.0694477439742947,0.123082707091416,"NO","NO","YES"
"Mp1g00160",1857.28518886778,0.0616816256398244,0.0838823959246689,0.735334571215848,0.462135758549687,0.575837881339142,"NO","NO","YES"
"Mp1g00170",1801.69750856882,3.59659360510289,0.234506407642357,15.33686708718,4.33623267659517e-53,2.8935826816066e-51,"YES","NO","NO"
"Mp1g00180",133.974301280253,1.84698179809371,0.516080190180733,3.57886590734454,0.000345088461861716,0.0011273269389421,"YES","NO","NO"
"Mp1g00190",814.575831634585,1.378767507804,0.100261947439151,13.7516529752305,4.97790441171336e-43,2.46364785843047e-41,"YES","NO","NO"
"Mp1g00210",722.411900282607,-1.09255505300698,0.236172816727272,-4.6260830020444,3.72646009914813e-06,1.74675978917449e-05,"NO","YES","NO"
"Mp1g00220",1393.15594704479,0.48332603548523,0.0958124806215226,5.04449975984297,4.5470940440859e-07,2.42852441796998e-06,"NO","NO","NO"
"Mp1g00230",2668.55247239249,-0.00511504658780442,0.0736718605879994,-0.0694301263328977,0.94464724942675,0.961319399305255,"NO","NO","YES"
"Mp1g00240",42.1800643727261,0.284919490568859,0.44521787386978,0.639955193380655,0.522201729685646,0.630292871172249,"NO","NO","YES"
"Mp1g00250",3610.19390252879,0.0579402873913926,0.0991477808825402,0.584383098397674,0.558962595413481,0.663537648243187,"NO","NO","YES"
"Mp1g00270",1564.46925188615,0.385318834967205,0.177310007086195,2.17313642528868,0.0297700509193715,0.0598736528842605,"NO","NO","YES"
"Mp1g00290",346.01165845078,-0.270362699369328,0.136246906256985,-1.98435844744524,0.0472158947873047,0.0889218960335509,"NO","NO","YES"
"Mp1g00310",84.5348565493075,0.5404313253194,0.297320611058676,1.81767191785014,0.0691142923281726,0.122546583710111,"NO","NO","YES"
"Mp1g00320",2506.90409451296,0.384670114207211,0.200923056435551,1.91451454617206,0.0555544423081987,0.101832664465553,"NO","NO","YES"
"Mp1g00330",178.251213117893,-0.067746349288263,0.132944298565012,-0.509584465219726,0.610342609553589,0.708111888677235,"NO","NO","YES"
"Mp1g00340",1832.52383184527,-1.11673060936973,0.11047997424987,-10.1079912169789,5.09175485946478e-24,1.23934147993284e-22,"NO","YES","NO"
"Mp1g00360",2364.90047016102,-0.353421463601392,0.053998534224484,-6.54501957649701,5.94875926825435e-11,5.31273402919738e-10,"NO","NO","NO"
"Mp1g00370",1470.13206782175,0.480661301937121,0.134644205560148,3.56986251237081,0.000357168636790559,0.00116263334277837,"NO","NO","NO"
"Mp1g00380",1883.16845963612,-0.21761958672358,0.100073935411718,-2.17458807658819,0.0296609986343682,0.0597040064021395,"NO","NO","YES"
"Mp1g00400",2228.31822006795,0.0270624489264479,0.0598164593956631,0.452424787422474,0.650962993341303,0.741265308686416,"NO","NO","YES"
"Mp1g00410",379.164820199215,2.32541091569213,0.147075505883692,15.8110006266514,2.61283685106977e-56,1.96425798208903e-54,"YES","NO","NO"
"Mp1g00420",1633.82379593886,0.232713080439243,0.113628022294916,2.04802544072488,0.0405575066588148,0.0778761823623346,"NO","NO","YES"
"Mp1g00430",957.216929575105,-0.14720281450394,0.0936995517665299,-1.57100873727468,0.116180619310879,0.189455436048136,"NO","NO","YES"
"Mp1g00440",2101.0393646615,0.0682414443968674,0.13250571875366,0.515007541098921,0.606547750363892,0.705293605366844,"NO","NO","YES"
"Mp1g00480",7903.17047990339,-0.316054993745771,0.0484301072766803,-6.52600234684913,6.75482619650003e-11,5.9831338972429e-10,"NO","NO","NO"
"Mp1g00490",6889.38161865274,0.189380121213693,0.10027981587987,1.88851684211865,0.058956599057455,0.107126584611359,"NO","NO","YES"
"Mp1g00510",743.251536010699,0.0520079382696732,0.118838548951827,0.437635251594627,0.661650712835446,0.750127628811628,"NO","NO","YES"
"Mp1g00530",656.386047885202,-0.917898097532357,0.154575773456989,-5.93817567270827,2.88211127437102e-09,2.09380536495284e-08,"NO","NO","NO"
"Mp1g00540",1432.00628276615,-0.00896533767290755,0.159820329899488,-0.0560963531895217,0.95526504909908,0.968587504505635,"NO","NO","YES"
"Mp1g00550",2908.42381943168,0.31009208698134,0.119348611760635,2.59820438970216,0.0093712695029212,0.0218558686738068,"NO","NO","NO"
"Mp1g00560",4384.89515408495,0.342213462560133,0.0934921782712019,3.66034323820588,0.000251877614931338,0.00084276121412801,"NO","NO","NO"
"Mp1g00570",2114.89338415969,0.145218211309592,0.162652756842061,0.892811250968231,0.37195826018646,0.488136141254533,"NO","NO","YES"
"Mp1g00620",1824.25150181671,-0.420210874968613,0.0975405016001512,-4.30806555302728,1.64688580134977e-05,6.92940472845644e-05,"NO","NO","NO"
"Mp1g00630",197.470995493067,0.0560067311218346,0.199579599285748,0.280623527265665,0.778999168711531,0.842096116304656,"NO","NO","YES"
"Mp1g00640",1030.50712830732,0.627064953393677,0.0889860416446652,7.04677881838641,1.83107022813887e-12,1.93500464144426e-11,"NO","NO","NO"
"Mp1g00650",494.251611731572,0.177795861073309,0.138666861190495,1.28217989176995,0.199779548374904,0.296473388744174,"NO","NO","YES"
"Mp1g00680",1279.89300327355,-0.128918912857511,0.0925186937618673,-1.39343637070075,0.163487873763284,0.251022358397141,"NO","NO","YES"
