output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C1_bZIP_1-C10_bZIP_15-C13_bZIP_2-C2_bZIP_17-C4_bZIP_15-C5_bZIP_4-C6_bZIP_23-C9_bZIP_10	NA	C1_bZIP_1-C10_bZIP_15-C13_bZIP_2-C2_bZIP_17-C4_bZIP_15-C5_bZIP_4-C6_bZIP_23-C9_bZIP_10	C_	230	9.13111	18	8.38694	17	0.01283	0.0174136	True
_C3_bHLH_31-C4_bHLH_26-C6_bHLH_43-C9_bHLH_13	NA	C3_bHLH_31-C4_bHLH_26-C6_bHLH_43-C9_bHLH_13	C_	203	7.76129	9	7.37215	9	-0.00327	0.131843	True
_C3_bHLH_32	NA	C3_bHLH_32	C_	294	8.42087	16	7.24711	13	-0.03318	1.20736e-08	True
_C10_C2H2_42	NA	C10_C2H2_42	C_	381	9.13503	25	8.70828	24	-0.01681	1.93214e-05	True
_C1_LOBAS2_6-C10_LOBAS2_21-C2_LOBAS2_30-C3_LOBAS2_15-C6_LOBAS2_26	NA	C1_LOBAS2_6-C10_LOBAS2_21-C2_LOBAS2_30-C3_LOBAS2_15-C6_LOBAS2_26	C_	114	13.77351	17	11.86859	16	-0.07324	1.01802e-15	True
_C10_LOBAS2_16	NA	C10_LOBAS2_16	C_	223	14.61804	34	12.35833	34	-0.02877	0.14316	True
_C2_bHLH_38-C9_bHLH_15	NA	C2_bHLH_38-C9_bHLH_15	C_	120	13.11467	15	12.16501	14	-0.0557	3.8283e-10	True
_C10_MYBrelated_7-C2_MYBrelated_4-C4_MYBrelated_10-C6_MYBrelated_10	NA	C10_MYBrelated_7-C2_MYBrelated_4-C4_MYBrelated_10-C6_MYBrelated_10	C_	163	10.30508	13	7.43208	13	0.35386	1.34965e-63	True
_C1_AP2EREBP_6-C10_AP2EREBP_15-C13_AP2EREBP_7-C2_AP2EREBP_16-C3_AP2EREBP_17-C4_AP2EREBP_16-C5_AP2EREBP_3-C6_AP2EREBP_19	NA	C1_AP2EREBP_6-C10_AP2EREBP_15-C13_AP2EREBP_7-C2_AP2EREBP_16-C3_AP2EREBP_17-C4_AP2EREBP_16-C5_AP2EREBP_3-C6_AP2EREBP_19	C_	118	5.53372	5	5.17058	4	-0.10656	1.22374e-20	True
_C1_AP2EREBP_7-C10_AP2EREBP_16-C3_AP2EREBP_18	NA	C1_AP2EREBP_7-C10_AP2EREBP_16-C3_AP2EREBP_18	C_	134	10.9946	15	10.19536	14	-0.00281	0.580484	True
_C10_WRKY_2-C13_WRKY_2-C2_WRKY_4-C3_WRKY_2-C4_WRKY_1-C6_WRKY_5-C9_WRKY_5	NA	C10_WRKY_2-C13_WRKY_2-C2_WRKY_4-C3_WRKY_2-C4_WRKY_1-C6_WRKY_5-C9_WRKY_5	C_	85	9.55497	9	8.09364	7	0.01049	0.424166	True
_C3_WRKY_1-C6_WRKY_4	NA	C3_WRKY_1-C6_WRKY_4	C_	105	13.07239	13	12.4362	10	0.00766	0.28779	True
_C1_C2H2_18-C10_C2H2_49-C3_C2H2_38-C4_C2H2_57-C6_C2H2_86-C9_C2H2_41	NA	C1_C2H2_18-C10_C2H2_49-C3_C2H2_38-C4_C2H2_57-C6_C2H2_86-C9_C2H2_41	C_	107	10.58829	8	9.27788	9	-0.04323	0.00386506	True
_C6_bHLH_58	NA	C6_bHLH_58	C_	136	11.66176	15	10.30504	15	-0.03343	0.0288595	True
_C10_AP2EREBP_95-C2_AP2EREBP_91-C4_AP2EREBP_71-C6_AP2EREBP_111	NA	C10_AP2EREBP_95-C2_AP2EREBP_91-C4_AP2EREBP_71-C6_AP2EREBP_111	C_	164	12.4376	11	9.16104	10	0.3343	2.31324e-70	True
_C2_MYB_24	NA	C2_MYB_24	C_	430	10.10943	25	7.81005	25	0.29115	1.40099e-81	True
_C4_AP2EREBP_59	NA	C4_AP2EREBP_59	C_	619	10.56271	46	9.00254	40	0.27636	9.98762e-83	True
_C6_AP2EREBP_230	NA	C6_AP2EREBP_230	C_0	590	8.49971	37	6.65965	27	0.22956	1.44684e-81	True
_C10_C2H2_13-C6_C2H2_14	NA	C10_C2H2_13-C6_C2H2_14	C_	213	10.35355	18	9.93586	17	-0.04321	1.01538e-07	True
_C6_bZIP_46	NA	C6_bZIP_46	C_	289	11.00793	22	9.6025	20	0.01254	0.00396988	True
_C2_C2H2_36	NA	C2_C2H2_36	C_	994	8.77062	62	7.49196	63	0.22534	1.37297e-83	True
_C2_NAC_61-C6_NAC_77	NA	C2_NAC_61-C6_NAC_77	C_	614	12.50612	55	10.60441	54	0.30188	4.57124e-90	True
_C10_C2H2_1-C11_C2H2_1-C2_C2H2_2-C4_C2H2_2-C6_C2H2_3-C7_C2H2_1-C9_C2H2_1	NA	C10_C2H2_1-C11_C2H2_1-C2_C2H2_2-C4_C2H2_2-C6_C2H2_3-C7_C2H2_1-C9_C2H2_1	C_	306	5.20067	5	3.84555	4	0.34997	1.0189e-83	True
_C2_C2H2_1-C6_C2H2_1	NA	C2_C2H2_1-C6_C2H2_1	C_	843	7.74807	38	6.42437	33	0.28624	1.76899e-98	True
_C10_bZIP_40-C2_bZIP_43-C3_bZIP_40-C6_bZIP_53	NA	C10_bZIP_40-C2_bZIP_43-C3_bZIP_40-C6_bZIP_53	C_	517	7.38898	18	5.79422	16	0.32547	1.80486e-86	True
_C10_FAR1_12-C13_FAR1_3-C2_FAR1_17-C3_FAR1_13-C4_FAR1_15-C5_FAR1_4-C6_FAR1_19-C9_FAR1_9	NA	C10_FAR1_12-C13_FAR1_3-C2_FAR1_17-C3_FAR1_13-C4_FAR1_15-C5_FAR1_4-C6_FAR1_19-C9_FAR1_9	C_	270	11.29544	17	9.6523	17	0.34734	1.33758e-76	True
_C4_CAMTA_9	NA	C4_CAMTA_9	C_	612	9.881	36	8.54997	37	0.27515	5.24699e-86	True
_C6_BZR_7	NA	C6_BZR_7	C_	189	12.69859	18	10.40259	17	0.38245	7.28377e-73	True
_C1_FAR1_2	NA	C1_FAR1_2	C_	87	14.82838	13	11.70918	11	-0.04029	0.0079948	True
_C1_FAR1_4-C10_FAR1_13-C2_FAR1_18-C3_FAR1_14-C4_FAR1_16-C6_FAR1_20	NA	C1_FAR1_4-C10_FAR1_13-C2_FAR1_18-C3_FAR1_14-C4_FAR1_16-C6_FAR1_20	C_	145	8.92415	8	7.26118	10	0.32374	1.50189e-65	True
