output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C10_C2C2YABBY_5	NA	C10_C2C2YABBY_5	C_	152	4.21686	82	5.39972	94	-0.25242	1.23404e-50	True
_C1_TCP_16-C6_TCP_53	NA	C1_TCP_16-C6_TCP_53	C_	124	7.31764	96	7.56142	76	0.14702	4.67e-29	True
_C10_AP2EREBP_94-C5_AP2EREBP_95	NA	C10_AP2EREBP_94-C5_AP2EREBP_95	C_	124	6.51604	93	6.24412	69	0.16027	1.04532e-31	True
_C2_BZR_21-C3_BZR_6	NA	C2_BZR_21-C3_BZR_6	C_	113	6.94499	81	6.41442	64	0.16622	4.18424e-30	True
_C3_TCP_18	NA	C3_TCP_18	C_	122	10.67304	77	10.38362	90	-0.26643	2.52724e-49	True
_C10_AP2EREBP_42-C5_AP2EREBP_39	NA	C10_AP2EREBP_42-C5_AP2EREBP_39	C_	153	10.02168	94	10.40953	103	-0.24676	5.2853e-54	True
_C2_SBP_3-C4_SBP_3-C6_SBP_1	NA	C2_SBP_3-C4_SBP_3-C6_SBP_1	C_	540	7.41798	358	6.75348	324	0.15167	9.07363e-58	True
_C6_SBP_2	NA	C6_SBP_2	C_	143	5.829	101	5.05696	85	0.24559	1.69167e-48	True
_C5_WRKY_5-C6_WRKY_9	NA	C5_WRKY_5-C6_WRKY_9	C_	132	5.66333	83	5.70596	74	0.13867	7.46625e-29	True
_C2_MYB_12-C4_MYB_12	NA	C2_MYB_12-C4_MYB_12	C_	339	6.86572	207	5.78724	190	0.17515	2.66454e-52	True
_C10_bZIP_5-C2_bZIP_5-C3_bZIP_7-C4_bZIP_3-C5_bZIP_3-C9_bZIP_5	NA	C10_bZIP_5-C2_bZIP_5-C3_bZIP_7-C4_bZIP_3-C5_bZIP_3-C9_bZIP_5	C_	646	6.845	384	7.5579	425	-0.21733	1.97166e-75	True
_C3_bZIP_6	NA	C3_bZIP_6	C_	204	9.14737	119	9.52793	137	-0.28689	1.04056e-65	True
_C10_NAC_27-C11_NAC_4-C2_NAC_28-C3_NAC_13-C4_NAC_26-C5_NAC_30-C6_NAC_41-C9_NAC_16	NA	C10_NAC_27-C11_NAC_4-C2_NAC_28-C3_NAC_13-C4_NAC_26-C5_NAC_30-C6_NAC_41-C9_NAC_16	C_7-C11_NAC_4-C2_NAC_28-C3_NAC_13-C4_NAC_26-C5_NAC_30-C6_NAC_41-C9_NAC_16	798	7.97532	496	8.01389	530	-0.13544	1.99116e-64	True
_C10_Trihelix_13-C13_Trihelix_4-C2_Trihelix_13-C3_Trihelix_10-C4_Trihelix_11-C5_Trihelix_12-C6_Trihelix_17-C7_Trihelix_2-C9_Trihelix_10	NA	C10_Trihelix_13-C13_Trihelix_4-C2_Trihelix_13-C3_Trihelix_10-C4_Trihelix_11-C5_Trihelix_12-C6_Trihelix_17-C7_Trihelix_2-C9_Trihelix_10	C_	677	7.05844	418	7.72374	440	-0.19396	1.16427e-77	True
_C10_Trihelix_11-C9_Trihelix_9	NA	C10_Trihelix_11-C9_Trihelix_9	C_	206	5.50794	117	7.29845	136	-0.33357	2.20923e-73	True
_C3_AP2EREBP_90	NA	C3_AP2EREBP_90	C_	52	6.89754	27	8.48369	35	-0.3481	1.13149e-40	True
_C2_AP2EREBP_25	NA	C2_AP2EREBP_25	C_	125	6.6235	79	5.75086	64	0.14263	5.3437e-30	True
_C3_bHLH_12	NA	C3_bHLH_12	C_	52	14.03257	39	16.79764	41	-0.41555	1.74658e-47	True
_C10_NAC_17-C2_NAC_14-C3_NAC_7-C4_NAC_14-C5_NAC_14-C6_NAC_22-C9_NAC_11	NA	C10_NAC_17-C2_NAC_14-C3_NAC_7-C4_NAC_14-C5_NAC_14-C6_NAC_22-C9_NAC_11	C_	802	7.63189	491	8.04711	535	-0.13603	7.23962e-61	True
_C10_TCP_18-C2_TCP_17-C3_TCP_10-C6_TCP_22	NA	C10_TCP_18-C2_TCP_17-C3_TCP_10-C6_TCP_22	C_	248	9.42438	169	9.92435	178	-0.21901	3.81413e-63	True
_C6_NAC_9-C9_NAC_5	NA	C6_NAC_9-C9_NAC_5	C_	432	6.41169	280	5.71109	237	0.19249	3.29786e-64	True
_C5_FHA_4	NA	C5_FHA_4	C_	456	7.27647	308	5.88212	246	0.29655	3.03967e-80	True
_C13_HSF_1	NA	C13_HSF_1	C_	318	6.37036	204	5.76673	171	0.20524	3.45726e-61	True
_C13_C2C2COlike_2	NA	C13_C2C2COlike_2	C_	637	9.67327	416	8.66728	357	0.15174	1.82254e-57	True
_C5_GRF_9	NA	C5_GRF_9	C_	169	5.50518	96	6.18595	118	-0.25375	2.73489e-49	True
_C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	NA	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	C_	645	10.62391	435	10.60439	457	-0.17819	8.65896e-70	True
_C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	NA	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	C_	173	9.51361	116	10.93256	126	-0.30796	1.1145e-67	True
_C1_Trihelix_13-C10_Trihelix_33-C13_Trihelix_10-C2_Trihelix_42-C5_Trihelix_36	NA	C1_Trihelix_13-C10_Trihelix_33-C13_Trihelix_10-C2_Trihelix_42-C5_Trihelix_36	C_	222	10.04728	142	10.82231	161	-0.42626	2.17444e-79	True
_C10_C2H2_11-C5_C2H2_11-C6_C2H2_11	NA	C10_C2H2_11-C5_C2H2_11-C6_C2H2_11	C_	499	8.90574	329	10.23951	351	-0.24436	1.32772e-74	True
_C6_SBP_13	NA	C6_SBP_13	C_	180	8.93105	113	7.35293	105	0.18258	4.27058e-44	True
_C5_TCP_107	NA	C5_TCP_107	C_	116	6.05329	70	7.42114	88	-0.23354	2.26428e-44	True
_C10_bZIP_7-C3_bZIP_11-C5_bZIP_5-C6_bZIP_8	NA	C10_bZIP_7-C3_bZIP_11-C5_bZIP_5-C6_bZIP_8	C_	240	6.2592	159	7.34856	172	-0.25895	1.05825e-59	True
_C10_AP2EREBP_67-C3_AP2EREBP_61	NA	C10_AP2EREBP_67-C3_AP2EREBP_61	C_	178	9.3595	99	8.6612	112	-0.23601	2.56828e-56	True
_C10_LOBAS2_23-C2_LOBAS2_33-C3_LOBAS2_19-C4_LOBAS2_20-C5_LOBAS2_29-C6_LOBAS2_29-C9_LOBAS2_21	NA	C10_LOBAS2_23-C2_LOBAS2_33-C3_LOBAS2_19-C4_LOBAS2_20-C5_LOBAS2_29-C6_LOBAS2_29-C9_LOBAS2_21	C_	686	7.45428	391	7.55036	461	-0.21148	3.9054e-74	True
_C2_LOBAS2_32-C3_LOBAS2_17	NA	C2_LOBAS2_32-C3_LOBAS2_17	C_7-C3_LOBAS2_12	169	5.04211	97	6.38805	110	-0.29001	1.43835e-54	True
_C11_bZIP_1-C13_bZIP_7-C2_bZIP_25-C4_bZIP_22-C5_bZIP_30-C6_bZIP_31	NA	C11_bZIP_1-C13_bZIP_7-C2_bZIP_25-C4_bZIP_22-C5_bZIP_30-C6_bZIP_31	C_	804	8.45616	562	7.02089	468	0.18179	3.1129e-70	True
_C10_bZIP_43	NA	C10_bZIP_43	C_	76	7.05711	45	7.38942	49	-0.24745	6.12889e-39	True
_C2_RWPRK_14	NA	C2_RWPRK_14	C_	65	4.61303	34	5.81201	38	-0.26214	3.36099e-43	True
_C1_Trihelix_18-C10_Trihelix_43-C2_Trihelix_52-C3_Trihelix_39-C5_Trihelix_44-C6_Trihelix_57	NA	C1_Trihelix_18-C10_Trihelix_43-C2_Trihelix_52-C3_Trihelix_39-C5_Trihelix_44-C6_Trihelix_57	C_	733	7.76063	467	8.70896	514	-0.27992	1.19027e-89	True
_C1_AP2EREBP_20-C10_AP2EREBP_65-C13_AP2EREBP_25-C2_AP2EREBP_59-C3_AP2EREBP_59-C4_AP2EREBP_51-C5_AP2EREBP_65-C6_AP2EREBP_77-C7_AP2EREBP_3	NA	C1_AP2EREBP_20-C10_AP2EREBP_65-C13_AP2EREBP_25-C2_AP2EREBP_59-C3_AP2EREBP_59-C4_AP2EREBP_51-C5_AP2EREBP_65-C6_AP2EREBP_77-C7_AP2EREBP_3	C_	597	7.54268	395	8.07022	399	-0.15065	9.70767e-67	True
