TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C2_HSF_4	C2_NAC_45	2	19	5	0.2051956704170308	0.5648326036836897
C2_ND_11	C2_ND_11	3	15	15	0.2	0.9447780870674427
C2_MYB_45-C4_MYB_22	C3_WRKY_18	1	9	3	0.19245008972987523	0.41558138688564905
C2_MYB_45-C4_MYB_22	C4_MYBrelated_22	1	9	3	0.19245008972987523	0.7745966692414833
C1_bHLH_19-C4_bHLH_15	C2_C2C2gata_35-C3_C2C2gata_52	1	14	2	0.18898223650461363	0.8320502943378436
C1_bHLH_19-C4_bHLH_15	C2_MYBrelated_2	1	14	2	0.18898223650461363	1.0645161290322578
C2_C2C2gata_7	C2_HSF_2	1	2	14	0.18898223650461363	0.8958280175293668
C2_HSF_2	C2_MYBrelated_2	1	14	2	0.18898223650461363	1.356801050599936
C2_HSF_2	C2_HSF_4	3	14	19	0.18394180184548975	-0.3361111591379719
C2_C2C2gata_15	C2_NAC_45	1	6	5	0.18257418583505536	0.8340360973874238
C2_NAC_45	C2_Orphan_6	1	5	6	0.18257418583505536	0.5423261445466404
C2_ND_11	C4_HB_10	1	15	2	0.18257418583505536	0.4370260533762031
C2_NAC_10	C3_WRKY_18	1	11	3	0.17407765595569782	0.4899789435061113
C2_NAC_10	C4_MYBrelated_22	1	11	3	0.17407765595569782	0.3725971462660978
C1_GeBP_3	C2_MYB_45-C4_MYB_22	1	4	9	0.16666666666666666	0.9129613975298096
C2_C2C2gata_15	C2_C2C2gata_15	1	6	6	0.16666666666666666	3.9581140290126378
C2_C2C2gata_15	C3_AP2EREBP_98	1	6	6	0.16666666666666666	0.5345224838248489
C2_Orphan_6	C2_Orphan_6	1	6	6	0.16666666666666666	1.2696221085454769
C2_HSF_4	C2_HSF_4	3	19	19	0.15789473684210525	0.5793584501023474
C1_bHLH_19-C4_bHLH_15	C2_MYB_32	1	14	3	0.15430334996209188	0.5555555555555556
C2_HSF_2	C3_TCP_23	1	14	3	0.15430334996209188	1.483650737941757
C2_HSF_2	C3_WRKY_18	1	14	3	0.15430334996209188	0.7453559924999299
C2_HSF_2	C4_MYBrelated_22	1	14	3	0.15430334996209188	0.6570525562495048
C2_ARID_8	C2_NAC_10	1	4	11	0.15075567228888181	0.03125000000000003
C2_NAC_10	C4_BES1_1	1	11	4	0.15075567228888181	0.5698028822981898
C2_ND_11	C4_MYBrelated_22	1	15	3	0.14907119849998599	0.26876525627335823
C2_MYB_45-C4_MYB_22	C2_NAC_45	1	9	5	0.14907119849998596	0.2510700709556061
C1_bHLH_19-C4_bHLH_15	C2_HSF_2	2	14	14	0.14285714285714285	-0.5441402838478652
C2_C2C2gata_15	C2_MYB_45-C4_MYB_22	1	6	9	0.1360827634879543	0.42602610286433135
C2_C2C2gata_15	C2_NAC_10	1	6	11	0.12309149097933271	-0.016785991556614813
C2_NAC_10	C2_Orphan_6	1	11	6	0.12309149097933271	-0.1201141627076408
C2_HSF_2	C2_NAC_45	1	14	5	0.11952286093343936	0.09411837077072378
C2_HSF_4	C2_ND_11	2	19	15	0.11846977555181848	-0.6407008045443296
C2_HSF_4	C4_BES1_1	1	19	4	0.11470786693528087	0.24253562503633289
C2_C2C2gata_15	C2_HSF_2	1	6	14	0.10910894511799618	-0.16528743684960323
C2_HSF_2	C2_Orphan_6	1	14	6	0.10910894511799618	-0.08084520834544438
