output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C1_LOBAS2_6-C10_LOBAS2_21-C2_LOBAS2_30-C3_LOBAS2_15-C6_LOBAS2_26	NA	C1_LOBAS2_6-C10_LOBAS2_21-C2_LOBAS2_30-C3_LOBAS2_15-C6_LOBAS2_26	C_	114	13.22221	16	12.06763	15	-0.20189	4.17527e-45	True
_C10_LOBAS2_16	NA	C10_LOBAS2_16	C_	223	14.24866	32	12.48586	28	-0.07679	2.65992e-12	True
_C3_LOBAS2_18	NA	C3_LOBAS2_18	C_4	128	16.36156	19	13.6953	17	-0.0425	7.64092e-05	True
_C10_MYBrelated_7-C2_MYBrelated_4-C4_MYBrelated_10-C6_MYBrelated_10	NA	C10_MYBrelated_7-C2_MYBrelated_4-C4_MYBrelated_10-C6_MYBrelated_10	C_	163	10.34852	15	8.08549	12	0.34241	2.79777e-62	True
_C2_MYB_5-C4_MYB_4-C6_MYB_7-C9_MYB_2	NA	C2_MYB_5-C4_MYB_4-C6_MYB_7-C9_MYB_2	C_	216	7.96186	15	7.28255	15	-0.09081	1.30342e-21	True
_C1_AP2EREBP_6-C10_AP2EREBP_15-C13_AP2EREBP_7-C2_AP2EREBP_16-C3_AP2EREBP_17-C4_AP2EREBP_16-C5_AP2EREBP_3-C6_AP2EREBP_19	NA	C1_AP2EREBP_6-C10_AP2EREBP_15-C13_AP2EREBP_7-C2_AP2EREBP_16-C3_AP2EREBP_17-C4_AP2EREBP_16-C5_AP2EREBP_3-C6_AP2EREBP_19	C_	118	6.49672	5	5.96086	5	-0.09468	7.6192e-18	True
_C2_AP2EREBP_198	NA	C2_AP2EREBP_198	C_	142	15.11547	17	13.20895	15	0.28243	5.95492e-54	True
_C6_AP2EREBP_136	NA	C6_AP2EREBP_136	C_	271	7.88249	16	7.14621	17	-0.05343	6.22524e-15	True
_C10_C2H2_13-C6_C2H2_14	NA	C10_C2H2_13-C6_C2H2_14	C_	213	10.39086	17	9.78493	16	-0.11319	2.58113e-29	True
_C2_BBRBPC_19-C6_BBRBPC_21	NA	C2_BBRBPC_19-C6_BBRBPC_21	C_	602	8.33555	28	6.63436	26	0.22092	3.21366e-74	True
