gene	RNA_cluster	ATAC_cluster
Mp1g06930	C4	C6
Mp1g20880	C4	C6
Mp1g21830	C4	C6
Mp1g25540	C4	C6
Mp1g27930	C4	C6
Mp2g25120	C4	C6
Mp3g01690	C4	C6
Mp3g04620	C4	C6
Mp3g06490	C4	C6
Mp3g06510	C4	C6
Mp3g10920	C4	C6
Mp3g11360	C4	C6
Mp3g14030	C4	C6
Mp3g14230	C4	C6
Mp3g18140	C4	C6
Mp3g18590	C4	C6
Mp4g02360	C4	C6
Mp4g16180	C4	C6
Mp5g04520	C4	C6
Mp5g04750	C4	C6
Mp5g06150	C4	C6
Mp5g06450	C4	C6
Mp5g13320	C4	C6
Mp5g19480	C4	C6
Mp5g19680	C4	C6
Mp5g22540	C4	C6
Mp6g02280	C4	C6
Mp6g05510	C4	C6
Mp6g07310	C4	C6
Mp6g10340	C4	C6
Mp6g12650	C4	C6
Mp6g13190	C4	C6
Mp6g17320	C4	C6
Mp7g01300	C4	C6
Mp7g07710	C4	C6
Mp7g09660	C4	C6
Mp7g13750	C4	C6
Mp8g06920	C4	C6
Mp8g07000	C4	C6
Mp8g08920	C4	C6
Mp8g14650	C4	C6
Mp8g14850	C4	C6
Mp8g16250	C4	C6
Mp8g16390	C4	C6
