gene	RNA_cluster	ATAC_cluster
Mp1g08390	C6	C3
Mp1g11070	C6	C3
Mp1g16340	C6	C3
Mp1g18170	C6	C3
Mp1g22370	C6	C3
Mp2g04740	C6	C3
Mp2g09790	C6	C3
Mp2g10380	C6	C3
Mp2g24790	C6	C3
Mp2g24810	C6	C3
Mp3g02930	C6	C3
Mp3g03370	C6	C3
Mp3g03420	C6	C3
Mp3g11090	C6	C3
Mp3g18030	C6	C3
Mp3g19920	C6	C3
Mp3g21360	C6	C3
Mp4g07920	C6	C3
Mp4g08820	C6	C3
Mp5g00550	C6	C3
Mp5g04580	C6	C3
Mp5g04600	C6	C3
Mp5g11110	C6	C3
Mp5g15820	C6	C3
Mp5g19380	C6	C3
Mp5g19840	C6	C3
Mp5g19990	C6	C3
Mp5g21450	C6	C3
Mp6g02920	C6	C3
Mp6g11540	C6	C3
Mp6g12310	C6	C3
Mp6g13700	C6	C3
Mp6g20250	C6	C3
Mp7g04810	C6	C3
Mp7g05870	C6	C3
Mp7g09310	C6	C3
Mp7g13270	C6	C3
Mp7g13990	C6	C3
Mp7g14300	C6	C3
Mp8g00350	C6	C3
Mp8g01280	C6	C3
Mp8g05650	C6	C3
Mp8g16560	C6	C3
