gene	RNA_cluster	ATAC_cluster
Mp1g09210	C6	C6
Mp1g09290	C6	C6
Mp1g17600	C6	C6
Mp1g18890	C6	C6
Mp1g19380	C6	C6
Mp1g20810	C6	C6
Mp1g23070	C6	C6
Mp1g23650	C6	C6
Mp2g00890	C6	C6
Mp2g09140	C6	C6
Mp2g15200	C6	C6
Mp2g22490	C6	C6
Mp2g24440	C6	C6
Mp3g20100	C6	C6
Mp3g22310	C6	C6
Mp3g25320	C6	C6
Mp4g10530	C6	C6
Mp4g13940	C6	C6
Mp5g01910	C6	C6
Mp5g03900	C6	C6
Mp5g19790	C6	C6
Mp6g05980	C6	C6
Mp6g07050	C6	C6
Mp6g08310	C6	C6
Mp6g20250	C6	C6
Mp7g03880	C6	C6
Mp7g05020	C6	C6
Mp7g05080	C6	C6
Mp7g15620	C6	C6
Mp7g15880	C6	C6
Mp7g19030	C6	C6
Mp8g07950	C6	C6
Mp8g08670	C6	C6
Mp8g09770	C6	C6
Mp8g12790	C6	C6
