output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C2_SBP_7-C4_SBP_7-C5_SBP_4-C6_SBP_10-C9_SBP_1	NA	C2_SBP_7-C4_SBP_7-C5_SBP_4-C6_SBP_10-C9_SBP_1	C_	524	7.1324	359	5.40126	261	0.17948	6.67312e-65	True
_C4_WRKY_4-C5_WRKY_9	NA	C4_WRKY_4-C5_WRKY_9	C_	528	6.45844	378	5.24283	264	0.19137	5.26888e-69	True
_C3_GRF_1	NA	C3_GRF_1	C_	35	7.98511	25	8.38693	25	-0.32514	1.52389e-36	True
_C3_AP2EREBP_183	NA	C3_AP2EREBP_183	C_	84	5.01499	64	5.44988	62	-0.27725	1.54701e-40	True
_C9_HSF_1	NA	C9_HSF_1	C_	198	4.47847	144	3.78184	100	0.17788	8.71434e-49	True
_C5_AP2EREBP_67	NA	C5_AP2EREBP_67	C_	137	12.19948	96	10.51549	91	-0.21193	4.42362e-41	True
_C13_GRF_3	NA	C13_GRF_3	C_	646	5.77416	436	4.68181	308	0.14834	1.57772e-59	True
_C2_C3H_3	NA	C2_C3H_3	C_	42	5.67669	27	4.75217	21	0.20147	7.00414e-19	True
_C4_ND_7	NA	C4_ND_7	C_	174	5.64135	116	5.10843	71	0.18885	1.5989e-38	True
_C2_C2C2gata_11-C4_C2C2gata_12-C6_C2C2gata_10-C9_C2C2gata_9	NA	C2_C2C2gata_11-C4_C2C2gata_12-C6_C2C2gata_10-C9_C2C2gata_9	C_	1003	5.62828	698	4.96162	508	0.11656	7.01635e-63	True
_C2_LOBAS2_27-C3_LOBAS2_12	NA	C2_LOBAS2_27-C3_LOBAS2_12	C_7-C3_LOBAS2_12	537	10.38943	351	9.08846	335	-0.19016	1.0592e-66	True
_C4_AP2EREBP_111	NA	C4_AP2EREBP_111	C_	702	8.76003	487	8.09573	324	0.20297	5.87557e-70	True
_C2_AP2EREBP_74-C5_AP2EREBP_79-C6_AP2EREBP_93-C9_AP2EREBP_44	NA	C2_AP2EREBP_74-C5_AP2EREBP_79-C6_AP2EREBP_93-C9_AP2EREBP_44	C_	998	5.70781	684	4.81417	525	0.12605	1.46387e-71	True
