source,target,HS_CK_log2fc
MpVg00470,Mp5g18000,2.12185
MpVg00470,Mp5g01420,0.68309
MpVg00470,Mp5g19560,1.57047
MpVg00470,Mp5g20470,2.91146
MpVg00470,Mp5g20470,2.7846
MpVg00470,Mp5g21950,1.43942
MpVg00470,Mp5g22690,0.17266
MpVg00470,Mp5g22780,0.25527
MpVg00470,Mp5g01910,2.33347
MpVg00470,Mp5g23110,1.23335
MpVg00470,Mp5g23110,2.76331
MpVg00470,Mp5g23110,3.54597
MpVg00470,Mp5g23110,3.04917
MpVg00470,Mp5g23120,0.23595
MpVg00470,Mp5g23120,4.01812
MpVg00470,Mp5g23120,3.62298
MpVg00470,Mp5g23140,0.32716
MpVg00470,Mp5g23140,4.0856
MpVg00470,Mp5g23140,3.93995
MpVg00470,Mp5g23150,2.30848
MpVg00470,Mp5g23150,2.71217
MpVg00470,Mp5g04750,0.5511
MpVg00470,Mp5g05740,0.70997
MpVg00470,Mp5g05750,0.19221
MpVg00470,Mp5g00030,0.31305
MpVg00470,Mp5g06710,1.3854
MpVg00470,Mp5g08490,1.02815
MpVg00470,Mp5g08690,1.4349
MpVg00470,Mp6g09230,2.34468
MpVg00470,Mp6g00580,1.48939
MpVg00470,Mp6g09630,1.31501
MpVg00470,Mp6g10230,0.85301
MpVg00470,Mp6g10340,1.98301
MpVg00470,Mp6g10380,1.58986
MpVg00470,Mp6g11390,1.49368
MpVg00470,Mp6g00930,1.37282
MpVg00470,Mp6g00980,1.57615
MpVg00470,Mp6g14180,1.88875
MpVg00470,Mp6g14180,1.84667
MpVg00470,Mp6g15170,2.75188
MpVg00470,Mp6g15170,2.53418
MpVg00470,Mp6g15220,1.27011
MpVg00470,Mp6g15300,0.47741
MpVg00470,Mp6g01200,0.97873
MpVg00470,Mp6g15910,0.6395
MpVg00470,Mp6g01280,0.62269
MpVg00470,Mp6g17280,1.96204
MpVg00470,Mp6g01420,0.83327
MpVg00470,Mp6g19170,0.82792
MpVg00470,Mp6g19370,1.75166
MpVg00470,Mp6g19790,0.90982
MpVg00470,Mp6g19790,1.84978
MpVg00470,Mp6g19800,0.54544
MpVg00470,Mp6g19860,1.01981
MpVg00470,Mp6g20360,0.36274
MpVg00470,Mp6g21290,1.12955
MpVg00470,Mp6g02840,1.71381
MpVg00470,Mp6g02860,1.71311
MpVg00470,Mp6g05380,1.23174
MpVg00470,Mp6g05380,1.95084
MpVg00470,Mp6g05930,0.75624
MpVg00470,Mp6g06110,0.80667
MpVg00470,Mp6g06580,2.48717
MpVg00470,Mp6g00390,0.58084
MpVg00470,Mp6g00390,0.73506
MpVg00470,Mp6g07830,0.14078
MpVg00470,Mp6g08280,2.15709
MpVg00470,Mp7g09910,0.01248
MpVg00470,Mp7g10930,1.28714
MpVg00470,Mp7g10930,0.13729
MpVg00470,Mp7g11660,2.20386
MpVg00470,Mp7g11860,0.5374
MpVg00470,Mp7g13630,0.90929
MpVg00470,Mp7g14010,0.39746
MpVg00470,Mp7g15930,2.0318
MpVg00470,Mp7g16360,0.77671
MpVg00470,Mp7g16410,1.12182
MpVg00470,Mp7g16580,1.40245
MpVg00470,Mp7g17100,1.60975
MpVg00470,Mp7g17280,0.18675
MpVg00470,Mp7g17600,0.90406
MpVg00470,Mp7g17800,1.62339
MpVg00470,Mp7g17970,0.82012
MpVg00470,Mp7g17970,0.54504
MpVg00470,Mp7g02600,1.88359
