"interaction","MI","name","pvalue","selected","shared.interaction","source","target","weight","source_TF","target_TF","presence"
"interacts with",0.978288671374852,"Mp8g08100 (interacts with) Mp6g17270",0,"false","interacts with","Mp8g08100","Mp6g17270",0.0475757762608794,"Trihelix",NA,""
"interacts with",1.0180461544628,"Mpzg01410 (interacts with) Mp5g07640",2.50863130268897e-08,"false","interacts with","Mpzg01410","Mp5g07640",0.0509911954756374,"bHLH",NA,""
"interacts with",0.967118326483187,"Mp8g08100 (interacts with) Mp1g11770",0.00525516972422113,"false","interacts with","Mp8g08100","Mp1g11770",0.0475533914433502,"Trihelix",NA,""
"interacts with",0.957685223840294,"Mpzg01410 (interacts with) Mp8g08550",3.30563580508425e-07,"false","interacts with","Mpzg01410","Mp8g08550",0.050062378199112,"bHLH",NA,""
"interacts with",1.00352364763944,"Mp8g08100 (interacts with) Mp7g08810",0,"false","interacts with","Mp8g08100","Mp7g08810",0.047536157902554,"Trihelix",NA,""
"interacts with",0.98859939405639,"Mpzg01410 (interacts with) Mp1g26670",0.00525516972422113,"false","interacts with","Mpzg01410","Mp1g26670",0.0498279472409626,"bHLH",NA,""
"interacts with",0.999698107753766,"Mp8g08100 (interacts with) Mp3g02550",4.10292818320279e-06,"false","interacts with","Mp8g08100","Mp3g02550",0.0474782884531891,"Trihelix",NA,""
"interacts with",0.880918972393155,"Mpzg01410 (interacts with) Mp7g07690",0.0491152351220638,"false","interacts with","Mpzg01410","Mp7g07690",0.0488529885075478,"bHLH",NA,""
"interacts with",1.00650480862265,"Mp8g08100 (interacts with) Mp2g04890",1.80950454620188e-09,"false","interacts with","Mp8g08100","Mp2g04890",0.0473329889317545,"Trihelix",NA,""
"interacts with",1.05108709527375,"Mpzg01410 (interacts with) Mp8g04700",0,"false","interacts with","Mpzg01410","Mp8g04700",0.0469332940063638,"bHLH",NA,""
"interacts with",0.943648235995507,"Mp8g08100 (interacts with) Mp8g15840",0,"false","interacts with","Mp8g08100","Mp8g15840",0.0469803461680298,"Trihelix",NA,""
"interacts with",0.910463587138242,"Mpzg01410 (interacts with) Mp1g21860",0.0491152351220638,"false","interacts with","Mpzg01410","Mp1g21860",0.0468175480263233,"bHLH",NA,""
"interacts with",1.11685696354605,"Mp8g08100 (interacts with) Mp4g06370",0.0491152351220638,"false","interacts with","Mp8g08100","Mp4g06370",0.0465036195437677,"Trihelix",NA,""
"interacts with",1.02952080356007,"Mpzg01410 (interacts with) Mp1g13260",0,"false","interacts with","Mpzg01410","Mp1g13260",0.0462796025147568,"bHLH","BZR/BES",""
