distanceToTSS (log10)	group
-0.826981336911994	hsfb CK
-0.794209116346496	hsfb CK
-0.227629649571009	hsfb CK
0	hsfb CK
0.3654879848909	hsfb CK
0.471438407389299	hsfb CK
0	hsfb CK
-1.03670872156989	hsfb CK
-1.05948768427445	hsfb CK
-0.077731179652392	hsfb CK
0	hsfb CK
0.754118894225413	hsfb CK
0.418798290590354	hsfb CK
0	hsfb CK
0.831485839248657	hsfb CK
-0.37984917876283	hsfb CK
-0.0338256939533103	hsfb CK
0.514016180400649	hsfb CK
0.198931869932209	hsfb CK
-0.139249217571607	hsfb CK
-0.140193678578631	hsfb CK
-0.412628520544375	hsfb CK
0	hsfb CK
1.21558469418161	hsfb CK
0	hsfb CK
0.450249108319361	hsfb CK
0.585235063365775	hsfb CK
-0.0195316845312554	hsfb CK
0.0629578340845102	hsfb CK
-0.108565023732834	hsfb CK
0	hsfb CK
0	hsfb CK
0.182129214052998	hsfb CK
0.269979676645324	hsfb CK
-0.0909630765957317	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.928703027430597	hsfb CK
0.0265332645232967	hsfb CK
0.475380593143361	hsfb CK
0.423081958297231	hsfb CK
0.112269768417271	hsfb CK
0.0281644194244699	hsfb CK
0	hsfb CK
-0.447623097760286	hsfb CK
-0.574609941340187	hsfb CK
-1.11464433890228	hsfb CK
-1.13091244210747	hsfb CK
-1.29276540385163	hsfb CK
-1.30364956106031	hsfb CK
1.55351894014897	hsfb CK
1.53611634824508	hsfb CK
1.44641288763886	hsfb CK
0.486005186362242	hsfb CK
0.0951693514317552	hsfb CK
0	hsfb CK
0.47639682672533	hsfb CK
0.822429623779357	hsfb CK
0.792041310712082	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.00646604224923168	hsfb CK
0.566908655226803	hsfb CK
0.083860800866573	hsfb CK
-0.698622429702098	hsfb CK
0.652343055062715	hsfb CK
0.432969290874406	hsfb CK
-0.0433622780211295	hsfb CK
-0.645324001562293	hsfb CK
-0.624178925748022	hsfb CK
-0.28443073384452	hsfb CK
-0.133538908370217	hsfb CK
0.51627088272934	hsfb CK
0.592731766393962	hsfb CK
0.663795122219408	hsfb CK
0.346939462698991	hsfb CK
0.394976719554564	hsfb CK
0	hsfb CK
0	hsfb CK
-0.666798683666174	hsfb CK
-0.628286731089514	hsfb CK
0	hsfb CK
0	hsfb CK
-0.086003705618382	hsfb CK
0	hsfb CK
0	hsfb CK
0.00302947055361796	hsfb CK
0.387389826338729	hsfb CK
0	hsfb CK
-0.403292145158254	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
-0.179264464339025	hsfb CK
0.727297202803587	hsfb CK
0.140822180109311	hsfb CK
0	hsfb CK
0	hsfb CK
-0.380934463330702	hsfb CK
0	hsfb CK
-0.798236176367936	hsfb CK
-0.747334109615905	hsfb CK
0	hsfb CK
0.659726095237792	hsfb CK
0.155639633759776	hsfb CK
0	hsfb CK
0	hsfb CK
0.901730691729219	hsfb CK
0.710963118995276	hsfb CK
0.662757831681574	hsfb CK
0.63154522783431	hsfb CK
0.0499928569201426	hsfb CK
0	hsfb CK
-0.387389826338729	hsfb CK
-0.495544337546448	hsfb CK
0.49789674291322	hsfb CK
0.382197210377454	hsfb CK
0.218797998111738	hsfb CK
-0.0625819842281631	hsfb CK
-0.282848602834645	hsfb CK
-0.40891802084678	hsfb CK
-0.488691698316941	hsfb CK
-0.557386882059507	hsfb CK
-0.63978521298682	hsfb CK
-0.698796251790431	hsfb CK
-1.01140125992474	hsfb CK
-1.03586981369555	hsfb CK
0	hsfb CK
-0.241546480596548	hsfb CK
0.823148059810694	hsfb CK
0.754195388189838	hsfb CK
0.623042434246382	hsfb CK
0.00432137378264258	hsfb CK
-0.0402066275747111	hsfb CK
-0.20002926655377	hsfb CK
-0.357172257723034	hsfb CK
-0.439332693830263	hsfb CK
-0.523616419054371	hsfb CK
-0.494154594018443	hsfb CK
-0.424554976606713	hsfb CK
0	hsfb CK
0.171141151028382	hsfb CK
0.342620042553348	hsfb CK
0.403292145158254	hsfb CK
0.526339277389844	hsfb CK
0	hsfb CK
-0.314709692955174	hsfb CK
-0.154728207440156	hsfb CK
0	hsfb CK
1.09356175756529	hsfb CK
1.0799767236326	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.600428325732131	hsfb CK
0.808953299155911	hsfb CK
0.697752274167755	hsfb CK
0.525174427835271	hsfb CK
-0.105510184769974	hsfb CK
-0.272769586551759	hsfb CK
0	hsfb CK
0.701999474889637	hsfb CK
0.914290255665949	hsfb CK
0.936463474004747	hsfb CK
0.889917683436206	hsfb CK
0	hsfb CK
-0.487279816443069	hsfb CK
-0.538699379542407	hsfb CK
-0.712902125047223	hsfb CK
-0.904390920012362	hsfb CK
-0.950656882504511	hsfb CK
0.801540906190318	hsfb CK
0	hsfb CK
-0.12515582958053	hsfb CK
0	hsfb CK
0.488691698316941	hsfb CK
0.431524584187451	hsfb CK
0	hsfb CK
-0.61320735210376	hsfb CK
-0.562292864456475	hsfb CK
-0.0132586652835165	hsfb CK
0.0934216851622351	hsfb CK
0.421110129793434	hsfb CK
0	hsfb CK
-0.130011949671904	hsfb CK
0	hsfb CK
0	hsfb CK
0.815046176064631	hsfb CK
0.733277533932582	hsfb CK
-0.931559567090805	hsfb CK
