distanceToTSS (log10)	group
-0.675686708699401	hsfa CK
-0.431524584187451	hsfa CK
-0.363799945479109	hsfa CK
-0.220108088040055	hsfa CK
0	hsfa CK
0.2043913319193	hsfa CK
-0.794975744051132	hsfa CK
0	hsfa CK
0.493318608232101	hsfa CK
0	hsfa CK
-1.02995164203684	hsfa CK
-1.06479481119538	hsfa CK
-0.0993352776859578	hsfa CK
0	hsfa CK
0.773054693364263	hsfa CK
0.756027212973441	hsfa CK
0.418632687354065	hsfa CK
0	hsfa CK
-0.0297894708318556	hsfa CK
-0.139879086401236	hsfa CK
-0.0881360887005513	hsfa CK
-0.412292509323047	hsfa CK
0	hsfa CK
1.21840419924972	hsfa CK
0	hsfa CK
0.448242412634439	hsfa CK
0.573683693093798	hsfa CK
-0.0269416279590294	hsfa CK
0.0629578340845102	hsfa CK
-0.123524980942732	hsfa CK
0	hsfa CK
0	hsfa CK
0.161966616364075	hsfa CK
-0.0951693514317552	hsfa CK
0	hsfa CK
0	hsfa CK
-0.00689370794790046	hsfa CK
0.927010868975651	hsfa CK
0.481442628502305	hsfa CK
0.4344092075875	hsfa CK
0.109915863023793	hsfa CK
0.0115704435972782	hsfa CK
0	hsfa CK
-0.440909082065218	hsfa CK
-0.564666064252089	hsfa CK
-1.11491108408189	hsfa CK
-1.1310409316001	hsfa CK
-1.29276540385163	hsfa CK
-1.30345526034188	hsfa CK
1.55359178187031	hsfa CK
1.450310706005	hsfa CK
1.44602428502349	hsfa CK
0.488127496247458	hsfa CK
0.0951693514317552	hsfa CK
0	hsfa CK
0.478422187740081	hsfa CK
0.821906377352323	hsfa CK
0.792391689498254	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0.0228406108765278	hsfa CK
0.59846220047415	hsfa CK
0.0856472882968565	hsfa CK
0.724521627118563	hsfa CK
0.659535907154216	hsfa CK
0.437433443797971	hsfa CK
-0.077731179652392	hsfa CK
-0.349860082192331	hsfa CK
-0.649042634086176	hsfa CK
-0.624797578960761	hsfa CK
-0.137670537236755	hsfa CK
0.118925752825777	hsfa CK
0.623662707356205	hsfa CK
0.675319983339292	hsfa CK
0.351022852584124	hsfa CK
0	hsfa CK
0	hsfa CK
-0.667733052533267	hsfa CK
-0.626545659027129	hsfa CK
-0.0362295440862945	hsfa CK
0.00389116623691048	hsfa CK
0	hsfa CK
0	hsfa CK
0.00475115559100102	hsfa CK
0.0161973535124391	hsfa CK
0.387745659608864	hsfa CK
0	hsfa CK
-0.403463701345318	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
-0.187802638718419	hsfa CK
0.726564216162245	hsfa CK
0.133858125203335	hsfa CK
0	hsfa CK
0	hsfa CK
-0.262925469331832	hsfa CK
0	hsfa CK
-0.802842112739074	hsfa CK
-0.747334109615905	hsfa CK
0	hsfa CK
0.660201201380682	hsfa CK
0.638688886690123	hsfa CK
0	hsfa CK
0	hsfa CK
0.902655475217926	hsfa CK
0.719828286254335	hsfa CK
0.66482994114309	hsfa CK
0.63788981658079	hsfa CK
0.0652061280543119	hsfa CK
-0.0614524790871932	hsfa CK
-0.394276526767821	hsfa CK
-0.495544337546448	hsfa CK
0.502017214827147	hsfa CK
