gene	RNA_cluster	ATAC_cluster
Mp1g02090	C2	C3
Mp1g10320	C2	C3
Mp1g15860	C2	C3
Mp1g28720	C2	C3
Mp2g10700	C2	C3
Mp2g11120	C2	C3
Mp2g17510	C2	C3
Mp2g21470	C2	C3
Mp2g21600	C2	C3
Mp2g25930	C2	C3
Mp3g06080	C2	C3
Mp3g10640	C2	C3
Mp3g18210	C2	C3
Mp3g20810	C2	C3
Mp3g21370	C2	C3
Mp3g21800	C2	C3
Mp3g24240	C2	C3
Mp3g24290	C2	C3
Mp4g01480	C2	C3
Mp4g03780	C2	C3
Mp4g06240	C2	C3
Mp4g08550	C2	C3
Mp4g12050	C2	C3
Mp5g03600	C2	C3
Mp5g04050	C2	C3
Mp5g08100	C2	C3
Mp6g03320	C2	C3
Mp7g05750	C2	C3
Mp7g06280	C2	C3
Mp8g09000	C2	C3
Mp8g16880	C2	C3
Mp8g17840	C2	C3
