gene	RNA_cluster	ATAC_cluster
Mp1g02040	C2	C6
Mp1g06880	C2	C6
Mp1g07760	C2	C6
Mp1g16280	C2	C6
Mp1g17490	C2	C6
Mp1g18650	C2	C6
Mp1g27860	C2	C6
Mp2g10220	C2	C6
Mp2g10260	C2	C6
Mp2g10270	C2	C6
Mp2g17410	C2	C6
Mp2g22690	C2	C6
Mp3g06320	C2	C6
Mp3g11830	C2	C6
Mp3g14920	C2	C6
Mp3g21780	C2	C6
Mp4g01210	C2	C6
Mp4g12820	C2	C6
Mp4g15430	C2	C6
Mp4g16050	C2	C6
Mp5g00390	C2	C6
Mp5g03600	C2	C6
Mp5g06100	C2	C6
Mp5g11520	C2	C6
Mp5g17990	C2	C6
Mp5g24230	C2	C6
Mp6g00390	C2	C6
Mp6g01420	C2	C6
Mp6g05900	C2	C6
Mp6g09190	C2	C6
Mp6g19470	C2	C6
Mp7g02590	C2	C6
Mp7g08570	C2	C6
Mp7g08800	C2	C6
Mp7g14100	C2	C6
Mp7g16580	C2	C6
Mp7g17960	C2	C6
Mp8g01780	C2	C6
Mp8g01840	C2	C6
Mp8g04890	C2	C6
Mp8g08910	C2	C6
Mp8g13250	C2	C6
Mp8g13590	C2	C6
Mp8g16780	C2	C6
