geneId	cluster
Mp4g03680	C3
Mp4g03690	C3
Mp4g03700	C3
Mp4g06570	C3
Mp4g06645a	C3
Mp4g08170	C3
Mp4g08420	C3
Mp5g10940	C3
Mp5g11480	C3
Mp5g11800	C3
Mp5g13080	C3
Mp5g13230	C3
Mp5g14700	C3
Mp5g16570	C3
Mp5g16800	C3
Mp5g17920	C3
Mp5g18740	C3
Mp5g19070	C3
Mp5g19990	C3
Mp5g01890	C3
Mp5g24020	C3
Mp5g24180	C3
Mp5g05230	C3
Mp5g05370	C3
Mp5g06020	C3
Mp5g08280	C3
Mp5g08760	C3
Mp5g08920	C3
Mp6g11030	C3
Mp6g11300	C3
Mp6g11840	C3
Mp6g12940	C3
Mp6g14140	C3
Mp6g14180	C3
Mp6g15150	C3
Mp6g16848a	C3
Mp6g17070	C3
Mp6g18420	C3
Mp6g19240	C3
Mp6g03680	C3
Mp6g04100	C3
Mp6g04790	C3
Mp6g04870	C3
Mp6g04900	C3
Mp6g06750	C3
Mp6g06860	C3
Mp6g07580	C3
Mp6g07940	C3
Mp7g10840	C3
Mp7g11060	C3
Mp7g12900	C3
Mp7g12930	C3
Mp7g16250	C3
Mp7g16540	C3
Mp7g18540	C3
Mp7g18775a	C3
Mp7g19250	C3
Mp7g02300	C3
Mp7g03250	C3
Mp7g06340	C3
Mp8g08880	C3
Mp8g09600	C3
Mp8g10350	C3
Mp8g10370	C3
Mp8g10540	C3
Mp8g10660	C3
Mp8g10670	C3
Mp8g10790	C3
Mp8g15910	C3
Mp8g17530	C3
Mp8g18060	C3
Mp8g00200	C3
Mp8g04060	C3
Mp8g05460	C3
Mp8g06350	C3
Mp8g07770	C3
Mp8g07860	C3
MpVg00860	C3
Mp1g11460	C4
Mp1g16580	C4
Mp1g17370	C4
Mp1g20170	C4
Mp1g20740	C4
Mp1g22530	C4
Mp1g22790	C4
Mp1g24100	C4
Mp1g25530	C4
Mp1g27720	C4
Mp1g29340	C4
Mp1g03220	C4
Mp1g04710	C4
Mp1g04790	C4
Mp2g11060	C4
Mp2g11120	C4
Mp2g15210	C4
Mp2g18670	C4
Mp2g21520	C4
Mp2g21540	C4
Mp2g21640	C4
Mp2g23810	C4
Mp2g24200	C4
Mp2g04700	C4
Mp2g06690	C4
Mp2g00630	C4
Mp3g13417	C4
Mp3g13870	C4
Mp3g14840	C4
Mp3g18830	C4
Mp3g19060	C4
Mp3g20710	C4
Mp3g20875a	C4
Mp3g02320	C4
Mp3g22830	C4
Mp3g23460	C4
Mp3g23520	C4
Mp3g03890	C4
Mp3g08070	C4
Mp3g08970	C4
Mp3g09990	C4
Mp4g10770	C4
Mp4g15880	C4
Mp4g16160	C4
Mp4g16625	C4
Mp4g20040	C4
Mp4g20910	C4
Mp4g21220	C4
Mp4g23420	C4
Mp4g02840	C4
